ID	LARM	RARM
0	0	0
1	0	1
2	2	0
3	0	3
4	0	2
5	0	0
6	3	0
7	1	0
8	0	0
9	1	0
10	2	0
11	2	0
13	0	0
14	0	2
15	0	0
16	0	2
17	0	2
18	0	3
19	2	0
20	2	0
21	3	0
22	0	0
23	0	0
24	0	0
25	1	0
26	1	0
27	3	0
28	3	0
29	3	0
30	3	0
31	0	1
32	0	1
33	0	3
34	0	3
35	0	3
36	0	3
37	1	0
38	1	0
39	1	0
40	0	1
41	1	0
42	2	0
43	2	0
44	2	0
45	0	4
46	0	4
47	4	0
48	4	0
49	0	2
50	0	2
51	0	2
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	2	0
59	2	0
60	2	0
61	0	2
62	0	2
63	0	2
64	3	0
65	3	0
66	3	0
67	0	3
68	0	3
69	0	3
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	1
77	0	1
78	0	1
79	0	1
80	1	0
81	1	0
82	1	0
83	1	0
84	0	2
85	0	2
86	0	2
87	0	2
88	2	0
89	2	0
90	2	0
91	2	0
92	0	3
93	0	3
94	0	3
95	0	3
96	3	0
97	3	0
98	3	0
99	3	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
